date,areaCode,areaName,areaType,covidOccupiedMVBeds
2020-12-12,K02000001,United Kingdom,overview,1243
2020-12-11,K02000001,United Kingdom,overview,1275
2020-12-10,K02000001,United Kingdom,overview,1267
2020-12-09,K02000001,United Kingdom,overview,1243
2020-12-08,K02000001,United Kingdom,overview,1272
2020-12-07,K02000001,United Kingdom,overview,1271
2020-12-06,K02000001,United Kingdom,overview,1249
2020-12-05,K02000001,United Kingdom,overview,1247
2020-12-04,K02000001,United Kingdom,overview,1274
2020-12-03,K02000001,United Kingdom,overview,1261
2020-12-02,K02000001,United Kingdom,overview,1315
2020-12-01,K02000001,United Kingdom,overview,1351
2020-11-30,K02000001,United Kingdom,overview,1357
2020-11-29,K02000001,United Kingdom,overview,1388
2020-11-28,K02000001,United Kingdom,overview,1378
2020-11-27,K02000001,United Kingdom,overview,1417
2020-11-26,K02000001,United Kingdom,overview,1456
2020-11-25,K02000001,United Kingdom,overview,1480
2020-11-24,K02000001,United Kingdom,overview,1489
2020-11-23,K02000001,United Kingdom,overview,1487
2020-11-22,K02000001,United Kingdom,overview,1454
2020-11-21,K02000001,United Kingdom,overview,1447
2020-11-20,K02000001,United Kingdom,overview,1421
2020-11-19,K02000001,United Kingdom,overview,1426
2020-11-18,K02000001,United Kingdom,overview,1430
2020-11-17,K02000001,United Kingdom,overview,1420
2020-11-16,K02000001,United Kingdom,overview,1391
2020-11-15,K02000001,United Kingdom,overview,1397
2020-11-14,K02000001,United Kingdom,overview,1365
2020-11-13,K02000001,United Kingdom,overview,1355
2020-11-12,K02000001,United Kingdom,overview,1275
2020-11-11,K02000001,United Kingdom,overview,1268
2020-11-10,K02000001,United Kingdom,overview,1219
2020-11-09,K02000001,United Kingdom,overview,1271
2020-11-08,K02000001,United Kingdom,overview,1232
2020-11-07,K02000001,United Kingdom,overview,1207
2020-11-06,K02000001,United Kingdom,overview,1187
2020-11-05,K02000001,United Kingdom,overview,1183
2020-11-04,K02000001,United Kingdom,overview,1193
2020-11-03,K02000001,United Kingdom,overview,1144
2020-11-02,K02000001,United Kingdom,overview,1075
2020-11-01,K02000001,United Kingdom,overview,979
2020-10-31,K02000001,United Kingdom,overview,1003
2020-10-30,K02000001,United Kingdom,overview,979
2020-10-29,K02000001,United Kingdom,overview,974
2020-10-28,K02000001,United Kingdom,overview,957
2020-10-27,K02000001,United Kingdom,overview,903
2020-10-26,K02000001,United Kingdom,overview,853
2020-10-25,K02000001,United Kingdom,overview,828
2020-10-24,K02000001,United Kingdom,overview,788
2020-10-23,K02000001,United Kingdom,overview,744
2020-10-22,K02000001,United Kingdom,overview,708
2020-10-21,K02000001,United Kingdom,overview,712
2020-10-20,K02000001,United Kingdom,overview,698
2020-10-19,K02000001,United Kingdom,overview,658
2020-10-18,K02000001,United Kingdom,overview,630
2020-10-17,K02000001,United Kingdom,overview,614
2020-10-16,K02000001,United Kingdom,overview,592
2020-10-15,K02000001,United Kingdom,overview,581
2020-10-14,K02000001,United Kingdom,overview,563
2020-10-13,K02000001,United Kingdom,overview,516
2020-10-12,K02000001,United Kingdom,overview,507
2020-10-11,K02000001,United Kingdom,overview,477
2020-10-10,K02000001,United Kingdom,overview,470
2020-10-09,K02000001,United Kingdom,overview,440
2020-10-08,K02000001,United Kingdom,overview,436
2020-10-07,K02000001,United Kingdom,overview,442
2020-10-06,K02000001,United Kingdom,overview,410
2020-10-05,K02000001,United Kingdom,overview,393
2020-10-04,K02000001,United Kingdom,overview,369
2020-10-03,K02000001,United Kingdom,overview,369
2020-10-02,K02000001,United Kingdom,overview,369
2020-10-01,K02000001,United Kingdom,overview,341
2020-09-30,K02000001,United Kingdom,overview,333
2020-09-29,K02000001,United Kingdom,overview,314
2020-09-28,K02000001,United Kingdom,overview,297
2020-09-27,K02000001,United Kingdom,overview,276
2020-09-26,K02000001,United Kingdom,overview,261
2020-09-25,K02000001,United Kingdom,overview,262
2020-09-24,K02000001,United Kingdom,overview,243
2020-09-23,K02000001,United Kingdom,overview,228
2020-09-22,K02000001,United Kingdom,overview,211
2020-09-21,K02000001,United Kingdom,overview,181
2020-09-20,K02000001,United Kingdom,overview,165
2020-09-19,K02000001,United Kingdom,overview,144
2020-09-18,K02000001,United Kingdom,overview,138
2020-09-17,K02000001,United Kingdom,overview,127
2020-09-16,K02000001,United Kingdom,overview,124
2020-09-15,K02000001,United Kingdom,overview,115
2020-09-14,K02000001,United Kingdom,overview,105
2020-09-13,K02000001,United Kingdom,overview,92
2020-09-12,K02000001,United Kingdom,overview,86
2020-09-11,K02000001,United Kingdom,overview,143
2020-09-10,K02000001,United Kingdom,overview,78
2020-09-09,K02000001,United Kingdom,overview,80
2020-09-08,K02000001,United Kingdom,overview,80
2020-09-07,K02000001,United Kingdom,overview,77
2020-09-06,K02000001,United Kingdom,overview,69
2020-09-05,K02000001,United Kingdom,overview,65
2020-09-04,K02000001,United Kingdom,overview,69
2020-09-03,K02000001,United Kingdom,overview,76
2020-09-02,K02000001,United Kingdom,overview,81
2020-09-01,K02000001,United Kingdom,overview,82
2020-08-31,K02000001,United Kingdom,overview,71
2020-08-30,K02000001,United Kingdom,overview,68
2020-08-29,K02000001,United Kingdom,overview,66
2020-08-28,K02000001,United Kingdom,overview,60
2020-08-27,K02000001,United Kingdom,overview,71
2020-08-26,K02000001,United Kingdom,overview,64
2020-08-25,K02000001,United Kingdom,overview,68
2020-08-24,K02000001,United Kingdom,overview,68
2020-08-23,K02000001,United Kingdom,overview,72
2020-08-22,K02000001,United Kingdom,overview,71
2020-08-21,K02000001,United Kingdom,overview,72
2020-08-20,K02000001,United Kingdom,overview,76
2020-08-19,K02000001,United Kingdom,overview,70
2020-08-18,K02000001,United Kingdom,overview,73
2020-08-17,K02000001,United Kingdom,overview,73
2020-08-16,K02000001,United Kingdom,overview,78
2020-08-15,K02000001,United Kingdom,overview,76
2020-08-14,K02000001,United Kingdom,overview,73
2020-08-13,K02000001,United Kingdom,overview,75
2020-08-12,K02000001,United Kingdom,overview,80
2020-08-11,K02000001,United Kingdom,overview,73
2020-08-10,K02000001,United Kingdom,overview,70
2020-08-09,K02000001,United Kingdom,overview,65
2020-08-08,K02000001,United Kingdom,overview,62
2020-08-07,K02000001,United Kingdom,overview,67
2020-08-06,K02000001,United Kingdom,overview,69
